model,tier,auc,auc_ci_lo,auc_ci_hi,ap,ap_ci_lo,ap_ci_hi,n_entities,n_launderers
logit,T1,0.9149335837917618,0.818498842374824,0.9793977785111239,0.7224357710706422,0.5367288734959799,0.8713212014588362,800,29
logit,T2,0.9444966232836889,0.8960933542707428,0.9824251863073108,0.7684561526670369,0.6189515368157031,0.8972042245605426,800,29
logit,T3,0.9790688313430833,0.9569696549133077,0.9942627970880211,0.7925555745837908,0.6376929789905557,0.9041960756733475,800,29
logit,T4,0.9857328145265889,0.9723073773680322,0.9958193548387098,0.8209777285949102,0.6811214996034765,0.925838194352791,800,29
gboost,T1,0.9355516794132117,0.8491440308649235,0.9939914268053063,0.8327378923442996,0.694350900852097,0.9383600219603606,800,29
gboost,T2,0.9877007021780938,0.9671845461365342,0.9984899844566157,0.8966844535210594,0.7925350245599635,0.9679681868852742,800,29
gboost,T3,0.9919942752359229,0.9792590311276688,0.9988820777489092,0.9142647135571785,0.8187412603741142,0.9754921178417133,800,29
gboost,T4,0.9919942752359229,0.9792590311276688,0.9988820777489092,0.9142647135571785,0.8187412603741142,0.9754921178417133,800,29
