model,tier,auc,auc_ci_lo,auc_ci_hi,ap,ap_ci_lo,ap_ci_hi,n_entities,n_launderers
logit,T1,0.8520506283823068,0.7546167910405476,0.9341244264247844,0.4508606699024252,0.29142619129184255,0.6156487482924448,800,29
logit,T2,0.8160472293036362,0.7299815793236357,0.8956957209226561,0.3692362403924612,0.1987531063095758,0.5553540484184806,800,29
logit,T3,0.9872981797039224,0.9756150726676098,0.9960837466615124,0.8414676317745675,0.7239428817515295,0.936157024994114,800,29
logit,T4,0.9920837246746277,0.9835268656214251,0.9982762731876854,0.9023375562534555,0.803326267241865,0.9722733427199198,800,29
gboost,T1,0.8847891229482535,0.8025297992344828,0.954846517136193,0.5034664834359884,0.3323437922398885,0.6660921401631019,800,29
gboost,T2,0.9253097186815152,0.8361865234374999,0.9856795668230328,0.7727117173407625,0.6226802756547026,0.8904965229080257,800,29
gboost,T3,0.9965561966098663,0.9927166780399183,0.9990872920571697,0.9299034522722249,0.8562132673687654,0.9808623994228282,800,29
gboost,T4,0.996869269645333,0.9928789716863239,0.9993078883513666,0.9392808738599454,0.8653413107670538,0.9846730030115609,800,29
